TransactionID,UserID,CourseID,TransactionDate,Amount,TeacherID,UserName,Age_x,Email,CourseName,CoursePrice,CourseDuration,CourseRating,TeacherName,Age_y,Gender_y,YearsOfExperience,TeacherRating,Gender_x_Female,Gender_x_Male,PaymentMethod_Bank Transfer,PaymentMethod_Credit Card,PaymentMethod_PayPal,CourseCategory_Artificial Intelligence,CourseCategory_Business,CourseCategory_Cybersecurity,CourseCategory_Data Science,CourseCategory_Design,CourseCategory_Digital Marketing,CourseCategory_Finance,CourseCategory_Machine Learning,CourseCategory_Marketing,CourseCategory_Programming,CourseCategory_Project Management,CourseCategory_Web Development,CourseType_Free,CourseType_Paid,CourseLevel_Advanced,CourseLevel_Beginner,CourseLevel_Intermediate,PriceCategory_High,PriceCategory_Low,PriceCategory_Medium,ExperienceLevel_Beginner,ExperienceLevel_Expert,ExperienceLevel_Intermediate,DurationCategory_Long,DurationCategory_Medium,DurationCategory_Short,Expertise_Artificial Intelligence,Expertise_Business,Expertise_Cybersecurity,Expertise_Data Science,Expertise_Design,Expertise_Digital Marketing,Expertise_Finance,Expertise_Machine Learning,Expertise_Marketing,Expertise_Programming,Expertise_Project Management,Expertise_Web Development
TT00001,U00003,CR00016,2025-10-25,0.0,TC00040,morrisonamanda,33,ganderson@yahoo.com,Digital Marketing,0.0,42.68,4.72,Kimberly Miller,49,Male,24,4.58,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
TT00002,U00003,CR00037,2025-01-13,0.0,TC00040,morrisonamanda,33,ganderson@yahoo.com,Scrum Essentials,0.0,33.93,3.45,Kimberly Miller,49,Male,24,4.58,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
TT00003,U00003,CR00019,2025-03-28,0.0,TC00040,morrisonamanda,33,ganderson@yahoo.com,Content Marketing,0.0,18.0,2.98,Kimberly Miller,49,Male,24,4.58,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
TT00004,U00004,CR00048,2025-06-02,0.0,TC00040,fthornton,23,christensencatherine@outlook.com,AI Ethics,0.0,42.7,3.64,Kimberly Miller,49,Male,24,4.58,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
TT00005,U00004,CR00060,2025-08-10,0.0,TC00042,fthornton,23,christensencatherine@outlook.com,Content Creation,0.0,8.95,2.14,Yolanda Levine,49,Female,21,4.97,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
TT00006,U00004,CR00042,2025-10-30,0.0,TC00042,fthornton,23,christensencatherine@outlook.com,Investment Strategies,0.0,34.83,4.1,Yolanda Levine,49,Female,21,4.97,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
TT00007,U00004,CR00017,2025-05-09,0.0,TC00042,fthornton,23,christensencatherine@outlook.com,SEO Mastery,0.0,29.37,4.79,Yolanda Levine,49,Female,21,4.97,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
TT00008,U00004,CR00025,2025-05-07,299.57,TC00040,fthornton,23,christensencatherine@outlook.com,Statistical Analysis,299.57,48.32,3.74,Kimberly Miller,49,Male,24,4.58,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
TT00009,U00013,CR00003,2025-10-05,0.0,TC00040,cherrykathleen,33,michelewatkins@outlook.com,C++ for Beginners,0.0,19.53,3.85,Kimberly Miller,49,Male,24,4.58,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
TT00010,U00013,CR00032,2025-09-29,0.0,TC00040,cherrykathleen,33,michelewatkins@outlook.com,Ethical Hacking,0.0,16.74,2.38,Kimberly Miller,49,Male,24,4.58,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
